Order_ID,Date,Brand,Model_Name,Laptop_Type,City,State,Quantity,Unit_Price,Unit_Cost,Revenue,Profit
1,2023-08-21,Acer,Swift 3,Gaming,Bengaluru,Maharashtra,3,126008,102894,378024,69342
2,2023-02-10,Asus,TUF F15,Student,Kolkata,Maharashtra,5,132283,93584,661415,193495
3,2025-05-26,Acer,Aspire 7,Student,Chandigarh,Rajasthan,4,148905,110280,595620,154500
4,2025-04-13,Dell,Latitude 5420,Student,Chandigarh,Punjab,4,132599,108432,530396,96668
5,2024-01-01,Lenovo,ThinkPad E14,Gaming,Mumbai,West Bengal,1,170171,111621,170171,58550
6,2026-03-05,Acer,Nitro 5,Gaming,Pune,Rajasthan,5,47162,31377,235810,78925
7,2024-08-08,Samsung,Galaxy Book Pro,Ultrabook,Mumbai,West Bengal,1,98480,67606,98480,30874
8,2023-08-25,Samsung,Galaxy Book2,2-in-1,Chandigarh,Karnataka,1,79677,56313,79677,23364
9,2022-04-24,Apple,MacBook Air M2,Student,Chandigarh,West Bengal,2,166758,117449,333516,98618
10,2025-07-26,MSI,GF63 Thin,Ultrabook,Chandigarh,Tamil Nadu,5,167727,138480,838635,146235
11,2023-08-15,Apple,MacBook Pro 16,Student,Mumbai,Gujarat,5,153679,120772,768395,164535
12,2023-01-30,Samsung,Galaxy Book Pro,Workstation,Bengaluru,Gujarat,5,100170,80471,500850,98495
13,2025-03-08,Acer,Aspire 7,2-in-1,Delhi,Karnataka,4,107548,79436,430192,112448
14,2022-11-27,HP,Victus 16,Workstation,Hyderabad,Karnataka,1,87138,72028,87138,15110
15,2024-12-22,Acer,Swift 3,2-in-1,Chennai,West Bengal,1,147107,109406,147107,37701
16,2025-08-04,Lenovo,Yoga Slim 7,Gaming,Kolkata,Karnataka,5,137183,98416,685915,193835
17,2024-01-04,Asus,ZenBook 14,Ultrabook,Kolkata,Telangana,2,73176,53506,146352,39340
18,2025-02-16,Dell,Latitude 5420,Student,Hyderabad,Punjab,4,72230,54217,288920,72052
19,2022-01-11,Lenovo,Legion 5,Gaming,Kolkata,Tamil Nadu,4,133369,94803,533476,154264
20,2023-04-13,MSI,GF63 Thin,Gaming,Mumbai,Gujarat,3,149401,108755,448203,121938
21,2024-11-07,HP,Envy x360,Student,Mumbai,Telangana,1,62697,41073,62697,21624
22,2022-06-23,Apple,MacBook Pro 14,Student,Chandigarh,Rajasthan,4,112113,77814,448452,137196
23,2023-05-05,HP,Victus 16,2-in-1,Kolkata,Rajasthan,3,117000,87216,351000,89352
24,2024-03-27,Lenovo,Yoga Slim 7,Gaming,Ahmedabad,Karnataka,4,115868,92954,463472,91656
25,2025-10-24,Apple,MacBook Pro 16,Workstation,Mumbai,Gujarat,1,103905,85444,103905,18461
26,2023-08-11,Asus,TUF F15,Business,Chennai,Telangana,4,136208,101554,544832,138616
27,2024-12-04,HP,EliteBook 840,Business,Mumbai,Punjab,4,96776,78001,387104,75100
28,2023-12-24,MSI,GF63 Thin,Workstation,Kolkata,Gujarat,4,44509,33376,178036,44532
29,2023-10-08,Dell,Latitude 5420,2-in-1,Pune,Maharashtra,2,42967,33908,85934,18118
30,2024-04-08,Samsung,Galaxy Book Pro,Workstation,Chennai,Telangana,4,72846,53657,291384,76756
31,2023-10-07,HP,Victus 16,2-in-1,Hyderabad,Gujarat,1,63743,44973,63743,18770
32,2022-04-26,Lenovo,ThinkPad E14,Workstation,Bengaluru,Gujarat,4,55573,37906,222292,70668
33,2026-02-16,Asus,TUF F15,Student,Ahmedabad,West Bengal,3,130852,103765,392556,81261
34,2022-12-06,Lenovo,Yoga Slim 7,Ultrabook,Ahmedabad,Rajasthan,1,113610,94474,113610,19136
35,2023-06-21,MSI,GF63 Thin,2-in-1,Chandigarh,Gujarat,1,150441,110775,150441,39666
36,2023-09-01,Samsung,Galaxy Book Pro,Ultrabook,Pune,Delhi,5,170881,113207,854405,288370
37,2023-03-12,Asus,ZenBook 14,Workstation,Kolkata,Delhi,3,91266,74418,273798,50544
38,2022-01-01,Acer,Nitro 5,Workstation,Hyderabad,Karnataka,1,92555,76305,92555,16250
39,2023-07-30,Asus,TUF F15,Workstation,Pune,Karnataka,3,163806,109617,491418,162567
40,2022-06-18,HP,EliteBook 840,2-in-1,Chandigarh,Punjab,4,168716,121894,674864,187288
41,2022-03-23,MSI,Katana GF66,Ultrabook,Bengaluru,Gujarat,4,71768,51542,287072,80904
42,2025-07-10,MSI,GF63 Thin,Workstation,Chandigarh,Punjab,3,87287,57550,261861,89211
